"Post.Code","covidest","covidprobinc","SE1est","SE1probinc"
"KW8",-0.0313844827070964,0.161333333333333,-0.0277542297890175,0.155
"KW9",-0.0155677099455437,0.302333333333333,-0.0143028833887135,0.289666666666667
"KY1",-0.0177062183121853,0.202333333333333,-0.0162335417136885,0.192333333333333
"KY10",-0.0341098555603227,0.147,-0.0306425187596863,0.136666666666667
"KY11",-0.0336119589478994,0.052,-0.0297853823246684,0.0493333333333333
"KY12",-0.0227272461327269,0.105333333333333,-0.0197355536259213,0.111
"KY13",-0.021924557510778,0.2,-0.0184383211321704,0.19
"KY14",-0.023590465130144,0.218,-0.0207358628968139,0.206
"KY15",-0.0194410844898222,0.175,-0.0170137345820539,0.155666666666667
"KY16",-0.0294732237062772,0.117333333333333,-0.0255394415696245,0.111666666666667
"KY2",-0.0179733673056922,0.187333333333333,-0.0158042143599714,0.18
"KY3",-0.0366187250115277,0.0826666666666667,-0.0310758087598753,0.0776666666666667
"KY4",0.00977249508509213,0.658,0.00741887458791396,0.652
